target
26
63.7
78
45.8
62.1
16
46.8
69.2
14.9
36.9
24.2
28.4
63.4
42.8
43.5
59.5
41.7
66.8
56.2
42.2
65
18.6
57
35.6
46.1
74.2
48.4
59.5
64.3
41.5
28.3
49.8
62.1
78
62.2
35.4
40.8
67.9
61.1
47
70.2
22.8
81
33.9
31.6
22.6
31.3
72.3
60.9
36.7
55.2
31.4
42
42.5
55.6
48.9
58.4
49.7
54.9
54
53
57.8
68.1
29.4
35.7
38.1
26.8
41.7
25
45.4
44.1
56
54.3
62.7
47.4
58.8
59.1
61.1
35.5
47.3
58.1
28.7
34.4
61.7
25
27.9
32.1
43.5
40.5
35.7
58
34.1
31.7
74
44.1
56.5
52.5
46.8
65.2
29
44.6
49.7
43.9
47.7
79.4
38.4
59.2
50.9
51.3
64.2
42.2
44.4
37.8
53.4
38.4
43.4
27.4
43.6
30.2
47.7
66.9
60.6
44.9
23.2
66.8
26.5
62.9
51.8
66.8
53.1
46.6
50.6
52.2
22.4
64.9
61.1
44.4
53.6
26.6
57
43.6
33.2
28.2
65
27.4
56.3
35.6
71.3
61.3
49.3
61.4
38.3
76
36.1
41.8
45.9
32.5
55.3
70.4
59.7
38.5
53.2
48.5
56.2
23.8
33.8
34
26.8
60.2
41.3
60.2
72.9
42.6
50.2
20.4
48.6
34.6
67.2
57
37
59.6
41.8
58.9
36.8
51
30.8
26.5
43.1
71.8
26.7
42.1
41.3
75.4
54.3
52.3
57.4
65.2
44.3
52
50.7
55.6
56.6
21.7
40.1
44
44.3
34.7
59.7
57.4
31.9
56.9
29.1
54.2
58
53.2
35.9
75.2
74.8
38.8
47.8
46.1
23.6
65.7
75.7
58.5
29.5
56.8
35
53.6
56.8
37.9
41.7
40.8
48.6
80.6
65.1
63.9
72.1
36.7
74.7
38.3
38.4
51.8
43.6
47.9
27.4
35.4
44.7
43.4
49.6
44
59.1
63.3
68.5
71
26.2
